,StudyInstanceUID,Slice,ImageHeight,ImageWidth,SliceThickness,ImagePositionPatient_x,ImagePositionPatient_y,ImagePositionPatient_z,C1,C2,C3,C4,C5,C6,C7,pixels
15,1.2.826.0.1.3680043.10633,16,512,512,1.0,-68.0,98.0,306.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,1.2.826.0.1.3680043.10633,17,512,512,1.0,-68.0,98.0,306.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,1.2.826.0.1.3680043.10633,18,512,512,1.0,-68.0,98.0,305.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,1.2.826.0.1.3680043.10633,19,512,512,1.0,-68.0,98.0,305.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,1.2.826.0.1.3680043.10633,20,512,512,1.0,-68.0,98.0,304.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,1.2.826.0.1.3680043.10633,21,512,512,1.0,-68.0,98.0,304.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,1.2.826.0.1.3680043.10633,22,512,512,1.0,-68.0,98.0,303.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,1.2.826.0.1.3680043.10633,23,512,512,1.0,-68.0,98.0,303.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,1.2.826.0.1.3680043.10633,24,512,512,1.0,-68.0,98.0,302.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,1.2.826.0.1.3680043.10633,25,512,512,1.0,-68.0,98.0,302.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,1.2.826.0.1.3680043.10633,26,512,512,1.0,-68.0,98.0,301.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,1.2.826.0.1.3680043.10633,27,512,512,1.0,-68.0,98.0,301.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,1.2.826.0.1.3680043.10633,28,512,512,1.0,-68.0,98.0,300.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,1.2.826.0.1.3680043.10633,29,512,512,1.0,-68.0,98.0,300.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,1.2.826.0.1.3680043.10633,30,512,512,1.0,-68.0,98.0,299.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,1.2.826.0.1.3680043.10633,31,512,512,1.0,-68.0,98.0,299.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31,1.2.826.0.1.3680043.10633,32,512,512,1.0,-68.0,98.0,298.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,1.2.826.0.1.3680043.10633,33,512,512,1.0,-68.0,98.0,298.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,1.2.826.0.1.3680043.10633,34,512,512,1.0,-68.0,98.0,297.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,1.2.826.0.1.3680043.10633,35,512,512,1.0,-68.0,98.0,297.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,1.2.826.0.1.3680043.10633,36,512,512,1.0,-68.0,98.0,296.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,1.2.826.0.1.3680043.10633,37,512,512,1.0,-68.0,98.0,296.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,1.2.826.0.1.3680043.10633,38,512,512,1.0,-68.0,98.0,295.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,1.2.826.0.1.3680043.10633,39,512,512,1.0,-68.0,98.0,295.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,1.2.826.0.1.3680043.10633,40,512,512,1.0,-68.0,98.0,294.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,1.2.826.0.1.3680043.10633,41,512,512,1.0,-68.0,98.0,294.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,1.2.826.0.1.3680043.10633,42,512,512,1.0,-68.0,98.0,293.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,1.2.826.0.1.3680043.10633,43,512,512,1.0,-68.0,98.0,293.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43,1.2.826.0.1.3680043.10633,44,512,512,1.0,-68.0,98.0,292.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44,1.2.826.0.1.3680043.10633,45,512,512,1.0,-68.0,98.0,292.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45,1.2.826.0.1.3680043.10633,46,512,512,1.0,-68.0,98.0,291.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46,1.2.826.0.1.3680043.10633,47,512,512,1.0,-68.0,98.0,291.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47,1.2.826.0.1.3680043.10633,48,512,512,1.0,-68.0,98.0,290.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,1.2.826.0.1.3680043.10633,49,512,512,1.0,-68.0,98.0,290.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49,1.2.826.0.1.3680043.10633,50,512,512,1.0,-68.0,98.0,289.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50,1.2.826.0.1.3680043.10633,51,512,512,1.0,-68.0,98.0,289.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51,1.2.826.0.1.3680043.10633,52,512,512,1.0,-68.0,98.0,288.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52,1.2.826.0.1.3680043.10633,53,512,512,1.0,-68.0,98.0,288.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,1.2.826.0.1.3680043.10633,54,512,512,1.0,-68.0,98.0,287.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,1.2.826.0.1.3680043.10633,55,512,512,1.0,-68.0,98.0,287.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,1.2.826.0.1.3680043.10633,56,512,512,1.0,-68.0,98.0,286.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,1.2.826.0.1.3680043.10633,57,512,512,1.0,-68.0,98.0,286.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57,1.2.826.0.1.3680043.10633,58,512,512,1.0,-68.0,98.0,285.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58,1.2.826.0.1.3680043.10633,59,512,512,1.0,-68.0,98.0,285.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59,1.2.826.0.1.3680043.10633,60,512,512,1.0,-68.0,98.0,284.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60,1.2.826.0.1.3680043.10633,61,512,512,1.0,-68.0,98.0,284.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61,1.2.826.0.1.3680043.10633,62,512,512,1.0,-68.0,98.0,283.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62,1.2.826.0.1.3680043.10633,63,512,512,1.0,-68.0,98.0,283.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
63,1.2.826.0.1.3680043.10633,64,512,512,1.0,-68.0,98.0,282.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,1.2.826.0.1.3680043.10633,65,512,512,1.0,-68.0,98.0,282.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65,1.2.826.0.1.3680043.10633,66,512,512,1.0,-68.0,98.0,281.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,1.2.826.0.1.3680043.10633,67,512,512,1.0,-68.0,98.0,281.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
67,1.2.826.0.1.3680043.10633,68,512,512,1.0,-68.0,98.0,280.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68,1.2.826.0.1.3680043.10633,69,512,512,1.0,-68.0,98.0,280.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
69,1.2.826.0.1.3680043.10633,70,512,512,1.0,-68.0,98.0,279.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70,1.2.826.0.1.3680043.10633,71,512,512,1.0,-68.0,98.0,279.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,1.2.826.0.1.3680043.10633,72,512,512,1.0,-68.0,98.0,278.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,1.2.826.0.1.3680043.10633,73,512,512,1.0,-68.0,98.0,278.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73,1.2.826.0.1.3680043.10633,74,512,512,1.0,-68.0,98.0,277.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
74,1.2.826.0.1.3680043.10633,75,512,512,1.0,-68.0,98.0,277.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75,1.2.826.0.1.3680043.10633,76,512,512,1.0,-68.0,98.0,276.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76,1.2.826.0.1.3680043.10633,77,512,512,1.0,-68.0,98.0,276.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
77,1.2.826.0.1.3680043.10633,78,512,512,1.0,-68.0,98.0,275.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
78,1.2.826.0.1.3680043.10633,79,512,512,1.0,-68.0,98.0,275.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79,1.2.826.0.1.3680043.10633,80,512,512,1.0,-68.0,98.0,274.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,1.2.826.0.1.3680043.10633,81,512,512,1.0,-68.0,98.0,274.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
81,1.2.826.0.1.3680043.10633,82,512,512,1.0,-68.0,98.0,273.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
82,1.2.826.0.1.3680043.10633,83,512,512,1.0,-68.0,98.0,273.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
83,1.2.826.0.1.3680043.10633,84,512,512,1.0,-68.0,98.0,272.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
84,1.2.826.0.1.3680043.10633,85,512,512,1.0,-68.0,98.0,272.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
85,1.2.826.0.1.3680043.10633,86,512,512,1.0,-68.0,98.0,271.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
86,1.2.826.0.1.3680043.10633,87,512,512,1.0,-68.0,98.0,271.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
87,1.2.826.0.1.3680043.10633,88,512,512,1.0,-68.0,98.0,270.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
88,1.2.826.0.1.3680043.10633,89,512,512,1.0,-68.0,98.0,270.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
89,1.2.826.0.1.3680043.10633,90,512,512,1.0,-68.0,98.0,269.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
90,1.2.826.0.1.3680043.10633,91,512,512,1.0,-68.0,98.0,269.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,1.2.826.0.1.3680043.10633,92,512,512,1.0,-68.0,98.0,268.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
92,1.2.826.0.1.3680043.10633,93,512,512,1.0,-68.0,98.0,268.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93,1.2.826.0.1.3680043.10633,94,512,512,1.0,-68.0,98.0,267.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
94,1.2.826.0.1.3680043.10633,95,512,512,1.0,-68.0,98.0,267.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
95,1.2.826.0.1.3680043.10633,96,512,512,1.0,-68.0,98.0,266.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,1.2.826.0.1.3680043.10633,97,512,512,1.0,-68.0,98.0,266.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1.2.826.0.1.3680043.10633,98,512,512,1.0,-68.0,98.0,265.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98,1.2.826.0.1.3680043.10633,99,512,512,1.0,-68.0,98.0,265.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
99,1.2.826.0.1.3680043.10633,100,512,512,1.0,-68.0,98.0,264.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100,1.2.826.0.1.3680043.10633,101,512,512,1.0,-68.0,98.0,264.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
101,1.2.826.0.1.3680043.10633,102,512,512,1.0,-68.0,98.0,263.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
102,1.2.826.0.1.3680043.10633,103,512,512,1.0,-68.0,98.0,263.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
103,1.2.826.0.1.3680043.10633,104,512,512,1.0,-68.0,98.0,262.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
104,1.2.826.0.1.3680043.10633,105,512,512,1.0,-68.0,98.0,262.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,1.2.826.0.1.3680043.10633,106,512,512,1.0,-68.0,98.0,261.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
106,1.2.826.0.1.3680043.10633,107,512,512,1.0,-68.0,98.0,261.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
107,1.2.826.0.1.3680043.10633,108,512,512,1.0,-68.0,98.0,260.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
108,1.2.826.0.1.3680043.10633,109,512,512,1.0,-68.0,98.0,260.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109,1.2.826.0.1.3680043.10633,110,512,512,1.0,-68.0,98.0,259.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
110,1.2.826.0.1.3680043.10633,111,512,512,1.0,-68.0,98.0,259.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,1.2.826.0.1.3680043.10633,112,512,512,1.0,-68.0,98.0,258.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112,1.2.826.0.1.3680043.10633,113,512,512,1.0,-68.0,98.0,258.099976,0.999999882352955,0.0,0.0,0.0,0.0,0.0,0.0,85
113,1.2.826.0.1.3680043.10633,114,512,512,1.0,-68.0,98.0,257.599976,0.999999882352955,0.0,0.0,0.0,0.0,0.0,0.0,85
114,1.2.826.0.1.3680043.10633,115,512,512,1.0,-68.0,98.0,257.099976,0.999999882352955,0.0,0.0,0.0,0.0,0.0,0.0,85
115,1.2.826.0.1.3680043.10633,116,512,512,1.0,-68.0,98.0,256.599976,0.9999999607843153,0.0,0.0,0.0,0.0,0.0,0.0,255
116,1.2.826.0.1.3680043.10633,117,512,512,1.0,-68.0,98.0,256.099976,0.9999999607843153,0.0,0.0,0.0,0.0,0.0,0.0,255
117,1.2.826.0.1.3680043.10633,118,512,512,1.0,-68.0,98.0,255.599976,0.9999999802761346,0.0,0.0,0.0,0.0,0.0,0.0,507
118,1.2.826.0.1.3680043.10633,119,512,512,1.0,-68.0,98.0,255.099976,0.9999999802761346,0.0,0.0,0.0,0.0,0.0,0.0,507
119,1.2.826.0.1.3680043.10633,120,512,512,1.0,-68.0,98.0,254.599976,0.9999999802761346,0.0,0.0,0.0,0.0,0.0,0.0,507
120,1.2.826.0.1.3680043.10633,121,512,512,1.0,-68.0,98.0,254.099976,0.9999999889380532,0.0,0.0,0.0,0.0,0.0,0.0,904
121,1.2.826.0.1.3680043.10633,122,512,512,1.0,-68.0,98.0,253.599976,0.9999999889380532,0.0,0.0,0.0,0.0,0.0,0.0,904
122,1.2.826.0.1.3680043.10633,123,512,512,1.0,-68.0,98.0,253.099976,0.999999993021633,0.0,0.0,0.0,0.0,0.0,0.0,1433
123,1.2.826.0.1.3680043.10633,124,512,512,1.0,-68.0,98.0,252.599976,0.999999993021633,0.0,0.0,0.0,0.0,0.0,0.0,1433
124,1.2.826.0.1.3680043.10633,125,512,512,1.0,-68.0,98.0,252.099976,0.999999993021633,0.0,0.0,0.0,0.0,0.0,0.0,1433
125,1.2.826.0.1.3680043.10633,126,512,512,1.0,-68.0,98.0,251.599976,0.9999999964093357,0.0,0.0,0.0,0.0,0.0,0.0,2785
126,1.2.826.0.1.3680043.10633,127,512,512,1.0,-68.0,98.0,251.099976,0.9999999964093357,0.0,0.0,0.0,0.0,0.0,0.0,2785
127,1.2.826.0.1.3680043.10633,128,512,512,1.0,-68.0,98.0,250.599976,0.9999999978586724,0.0,0.0,0.0,0.0,0.0,0.0,4670
128,1.2.826.0.1.3680043.10633,129,512,512,1.0,-68.0,98.0,250.099976,0.9999999978586724,0.0,0.0,0.0,0.0,0.0,0.0,4670
129,1.2.826.0.1.3680043.10633,130,512,512,1.0,-68.0,98.0,249.599976,0.9999999978586724,0.0,0.0,0.0,0.0,0.0,0.0,4670
130,1.2.826.0.1.3680043.10633,131,512,512,1.0,-68.0,98.0,249.099976,0.9670848496329626,0.032915149018055916,0.0,0.0,0.0,0.0,0.0,7413
131,1.2.826.0.1.3680043.10633,132,512,512,1.0,-68.0,98.0,248.599976,0.9670848496329626,0.032915149018055916,0.0,0.0,0.0,0.0,0.0,7413
132,1.2.826.0.1.3680043.10633,133,512,512,1.0,-68.0,98.0,248.099976,0.9561999990438,0.0437999999562,0.0,0.0,0.0,0.0,0.0,10000
133,1.2.826.0.1.3680043.10633,134,512,512,1.0,-68.0,98.0,247.599976,0.9561999990438,0.0437999999562,0.0,0.0,0.0,0.0,0.0,10000
134,1.2.826.0.1.3680043.10633,135,512,512,1.0,-68.0,98.0,247.099976,0.9561999990438,0.0437999999562,0.0,0.0,0.0,0.0,0.0,10000
135,1.2.826.0.1.3680043.10633,136,512,512,1.0,-68.0,98.0,246.599976,0.9462337196882843,0.053766279431743856,0.0,0.0,0.0,0.0,0.0,11364
136,1.2.826.0.1.3680043.10633,137,512,512,1.0,-68.0,98.0,246.099976,0.9462337196882843,0.053766279431743856,0.0,0.0,0.0,0.0,0.0,11364
137,1.2.826.0.1.3680043.10633,138,512,512,1.0,-68.0,98.0,245.599976,0.9314166658904861,0.06858333327618056,0.0,0.0,0.0,0.0,0.0,12000
138,1.2.826.0.1.3680043.10633,139,512,512,1.0,-68.0,98.0,245.099976,0.9314166658904861,0.06858333327618056,0.0,0.0,0.0,0.0,0.0,12000
139,1.2.826.0.1.3680043.10633,140,512,512,1.0,-68.0,98.0,244.599976,0.9314166658904861,0.06858333327618056,0.0,0.0,0.0,0.0,0.0,12000
140,1.2.826.0.1.3680043.10633,141,512,512,1.0,-68.0,98.0,244.099976,0.9179315659738174,0.08206843316862325,0.0,0.0,0.0,0.0,0.0,11661
141,1.2.826.0.1.3680043.10633,142,512,512,1.0,-68.0,98.0,243.599976,0.9179315659738174,0.08206843316862325,0.0,0.0,0.0,0.0,0.0,11661
142,1.2.826.0.1.3680043.10633,143,512,512,1.0,-68.0,98.0,243.099976,0.9066572104364354,0.09334278867711836,0.0,0.0,0.0,0.0,0.0,11281
143,1.2.826.0.1.3680043.10633,144,512,512,1.0,-68.0,98.0,242.599976,0.9066572104364354,0.09334278867711836,0.0,0.0,0.0,0.0,0.0,11281
144,1.2.826.0.1.3680043.10633,145,512,512,1.0,-68.0,98.0,242.099976,0.9066572104364354,0.09334278867711836,0.0,0.0,0.0,0.0,0.0,11281
145,1.2.826.0.1.3680043.10633,146,512,512,1.0,-68.0,98.0,241.599976,0.8959664337789964,0.10403356526744201,0.0,0.0,0.0,0.0,0.0,10487
146,1.2.826.0.1.3680043.10633,147,512,512,1.0,-68.0,98.0,241.099976,0.8959664337789964,0.10403356526744201,0.0,0.0,0.0,0.0,0.0,10487
147,1.2.826.0.1.3680043.10633,148,512,512,1.0,-68.0,98.0,240.599976,0.8774164192888146,0.12258357957404642,0.0,0.0,0.0,0.0,0.0,8794
148,1.2.826.0.1.3680043.10633,149,512,512,1.0,-68.0,98.0,240.099976,0.8774164192888146,0.12258357957404642,0.0,0.0,0.0,0.0,0.0,8794
149,1.2.826.0.1.3680043.10633,150,512,512,1.0,-68.0,98.0,239.599976,0.8774164192888146,0.12258357957404642,0.0,0.0,0.0,0.0,0.0,8794
150,1.2.826.0.1.3680043.10633,151,512,512,1.0,-68.0,98.0,239.099976,0.8502208712724726,0.14977912734707466,0.0,0.0,0.0,0.0,0.0,7244
151,1.2.826.0.1.3680043.10633,152,512,512,1.0,-68.0,98.0,238.599976,0.8502208712724726,0.14977912734707466,0.0,0.0,0.0,0.0,0.0,7244
152,1.2.826.0.1.3680043.10633,153,512,512,1.0,-68.0,98.0,238.099976,0.6892937750898198,0.3107062232977971,0.0,0.0,0.0,0.0,0.0,6202
153,1.2.826.0.1.3680043.10633,154,512,512,1.0,-68.0,98.0,237.599976,0.6892937750898198,0.3107062232977971,0.0,0.0,0.0,0.0,0.0,6202
154,1.2.826.0.1.3680043.10633,155,512,512,1.0,-68.0,98.0,237.099976,0.6892937750898198,0.3107062232977971,0.0,0.0,0.0,0.0,0.0,6202
155,1.2.826.0.1.3680043.10633,156,512,512,1.0,-68.0,98.0,236.599976,0.5073858912740483,0.4926141070662007,0.0,0.0,0.0,0.0,0.0,6025
156,1.2.826.0.1.3680043.10633,157,512,512,1.0,-68.0,98.0,236.099976,0.5073858912740483,0.4926141070662007,0.0,0.0,0.0,0.0,0.0,6025
157,1.2.826.0.1.3680043.10633,158,512,512,1.0,-68.0,98.0,235.599976,0.25999115136411866,0.7400088471611727,0.0,0.0,0.0,0.0,0.0,6781
158,1.2.826.0.1.3680043.10633,159,512,512,1.0,-68.0,98.0,235.099976,0.25999115136411866,0.7400088471611727,0.0,0.0,0.0,0.0,0.0,6781
159,1.2.826.0.1.3680043.10633,160,512,512,1.0,-68.0,98.0,234.599976,0.25999115136411866,0.7400088471611727,0.0,0.0,0.0,0.0,0.0,6781
160,1.2.826.0.1.3680043.10633,161,512,512,1.0,-68.0,98.0,234.099976,0.13394541550252118,0.8660545832397755,0.0,0.0,0.0,0.0,0.0,7951
161,1.2.826.0.1.3680043.10633,162,512,512,1.0,-68.0,98.0,233.599976,0.13394541550252118,0.8660545832397755,0.0,0.0,0.0,0.0,0.0,7951
162,1.2.826.0.1.3680043.10633,163,512,512,1.0,-68.0,98.0,233.099976,0.06332426202289694,0.936675736930421,0.0,0.0,0.0,0.0,0.0,9554
163,1.2.826.0.1.3680043.10633,164,512,512,1.0,-68.0,98.0,232.599976,0.06332426202289694,0.936675736930421,0.0,0.0,0.0,0.0,0.0,9554
164,1.2.826.0.1.3680043.10633,165,512,512,1.0,-68.0,98.0,232.099976,0.06332426202289694,0.936675736930421,0.0,0.0,0.0,0.0,0.0,9554
165,1.2.826.0.1.3680043.10633,166,512,512,1.0,-68.0,98.0,231.599976,0.02645305511694015,0.9735469439516142,0.0,0.0,0.0,0.0,0.0,10736
166,1.2.826.0.1.3680043.10633,167,512,512,1.0,-68.0,98.0,231.099976,0.02645305511694015,0.9735469439516142,0.0,0.0,0.0,0.0,0.0,10736
167,1.2.826.0.1.3680043.10633,168,512,512,1.0,-68.0,98.0,230.599976,0.0,0.9999999991409673,0.0,0.0,0.0,0.0,0.0,11641
168,1.2.826.0.1.3680043.10633,169,512,512,1.0,-68.0,98.0,230.099976,0.0,0.9999999991409673,0.0,0.0,0.0,0.0,0.0,11641
169,1.2.826.0.1.3680043.10633,170,512,512,1.0,-68.0,98.0,229.599976,0.0,0.9999999991409673,0.0,0.0,0.0,0.0,0.0,11641
170,1.2.826.0.1.3680043.10633,171,512,512,1.0,-68.0,98.0,229.099976,0.0,0.9999999992007673,0.0,0.0,0.0,0.0,0.0,12512
171,1.2.826.0.1.3680043.10633,172,512,512,1.0,-68.0,98.0,228.599976,0.0,0.9999999992007673,0.0,0.0,0.0,0.0,0.0,12512
172,1.2.826.0.1.3680043.10633,173,512,512,1.0,-68.0,98.0,228.099976,0.0,0.9999999991923109,0.0,0.0,0.0,0.0,0.0,12381
173,1.2.826.0.1.3680043.10633,174,512,512,1.0,-68.0,98.0,227.599976,0.0,0.9999999991923109,0.0,0.0,0.0,0.0,0.0,12381
174,1.2.826.0.1.3680043.10633,175,512,512,1.0,-68.0,98.0,227.099976,0.0,0.9999999991923109,0.0,0.0,0.0,0.0,0.0,12381
175,1.2.826.0.1.3680043.10633,176,512,512,1.0,-68.0,98.0,226.599976,0.0,0.9870796451441773,0.012920353970866943,0.0,0.0,0.0,0.0,11300
176,1.2.826.0.1.3680043.10633,177,512,512,1.0,-68.0,98.0,226.099976,0.0,0.9870796451441773,0.012920353970866943,0.0,0.0,0.0,0.0,11300
177,1.2.826.0.1.3680043.10633,178,512,512,1.0,-68.0,98.0,225.599976,0.0,0.9601514236300543,0.039848575373731245,0.0,0.0,0.0,0.0,10038
178,1.2.826.0.1.3680043.10633,179,512,512,1.0,-68.0,98.0,225.099976,0.0,0.9601514236300543,0.039848575373731245,0.0,0.0,0.0,0.0,10038
179,1.2.826.0.1.3680043.10633,180,512,512,1.0,-68.0,98.0,224.599976,0.0,0.9601514236300543,0.039848575373731245,0.0,0.0,0.0,0.0,10038
